"search_term_used","study_id","title","description","organism","relevance_score","url"
"blood pressure","GSE6573","Dysregulation of the circulating and tissue-based renin-angiotensin system in preeclampsia","Preeclampsia complicates more than 3% of all pregnancies in the United States and Europe. High-risk populations include women with diabetes, dyslipidemia, thrombotic disorders, hyperhomocysteinemia, hypertension, renal diseases, previous preeclampsia, twin pregnancies, and low socioeconomic status. In the latter case, the incidence may increase to 20% to 25%. Preeclampsia is a major cause of maternal and fetal morbidity and mortality. Preeclampsia is defined by systolic blood pressure of more th...","Homo sapiens","29","https://osdr.nasa.gov/bio/repo/data/studies/GSE6573"
"blood pressure","GSE73053","DNA methylation profiling of blood monocytes in obstructive sleep apnea (OSA) patients: Effect of positive airway pressure (PAP) treatment.","Background: Obstructive sleep apnea (OSA) is a highly prevalent condition that is associated with a wide range of long-term morbidities including metabolic, cardiovascular, and cognitive alterations, possibly via activation of systemic inflammatory and oxidative stress pathways. Implementation of positive airway pressure (PAP) is the first line treatment for OSA. However, the molecular and cellular mechanisms underlying OSA-induced morbidities and their response to PAP treatment remain unclear. ...","Homo sapiens","29","https://osdr.nasa.gov/bio/repo/data/studies/GSE73053"
"blood pressure","GSE71838","Role of Gata5 in vascular endothelial cells","Despite its high prevalence and economic burden, the etiology of human hypertension remains incompletely understood. Here we identify the transcription factor Gata5, as a new gene involved in regulation of blood pressure (BP). GATA5 is expressed in microvascular endothelial cells (mEC) and its genetic inactivation in mice leads to hypertension, vascular endothelial dysfunction and renal inflammation. Aged Gata5-Null mice develop salt-sensitivity and target-organ damage reminiscent of the progres...","Homo sapiens","29","https://osdr.nasa.gov/bio/repo/data/studies/GSE71838"
"blood pressure","GSE13198","Erythropoietin use in kidney transplants","Disease State: patient with high blood pressure  Set of arrays organized by shared biological context, such as organism, tumors types, processes, etc. Background and objectives: This report describes an unusual presentation of severe hypertension (HTN) in a subset of pediatric kidney recipients treated with a steroid avoidance pediatric renal transplantation protocol. The HTN was secondary to atypical, reno-vascular abnormalities (RVA) of the transplanted vasculature, temporally associated with ...","Homo sapiens","29","https://osdr.nasa.gov/bio/repo/data/studies/GSE13198"
"blood pressure","GSE40182","Culturing Cytotrophoblasts Reverses Gene Dysregulation in Preeclampsia Revealing Possible Causes","During human pregnancy, a subset of placental cytotrophoblasts (CTBs) differentiates into cells that aggressively invade the uterus and its vasculature, anchoring the progeny and rerouting maternal blood to the placenta. In preeclampsia (PE), CTB invasion is limited, reducing placental perfusion and/or creating intermittent flow. This syndrome, affecting 4-8% of pregnancies, entails maternal vascular alterations (e.g., high blood pressure, proteinuria, and edema) ± fetal growth restriction. The ...","Homo sapiens","29","https://osdr.nasa.gov/bio/repo/data/studies/GSE40182"
"circulation","GSE106288","Human MAIT cells exit peripheral tissues and re-circulate via lymph in steady state conditions","Mucosal-associated invariant T (MAIT) cells recognize bacterial metabolites as antigen and are found in blood and tissues, where they are poised to contribute to barrier immunity. Recent data demonstrate that MAIT cells located in mucosal barrier tissues are functionally distinct from their blood counterparts, but the relationship and circulation of MAIT cells between blood and different tissue compartments remains poorly understood. Previous studies raised the possibility that MAIT cells do not...","Homo sapiens","29","https://osdr.nasa.gov/bio/repo/data/studies/GSE106288"
"circulation","GSE121080","Single cell RNA-seq resolves lineage-specific activation dynamics of human blood and tissue T cells","Human T cells coordinate adaptive immunity and persist as heterogeneous subsets in tissues and circulation, yet the impact of localization on T cell function remains unclear. Here, we profile activation of T cells from human lungs, lymph nodes (LN), bone marrow (BM) and blood following TCR/CD3 stimulation by single cell RNA-seq. Analysis of >50,000 individual resting and activated T cells using new factorization methods reveals conserved lineage-specific gene expression signatures and activation...","Homo sapiens","29","https://osdr.nasa.gov/bio/repo/data/studies/GSE121080"
"circulation","GSE121007","Deciphering clonal evolution and dissemination of Multiple Myeloma cells in vivo","Clonal evolution drives tumor progression, dissemination and relapse in cancer, and dissemination or metastasis of the tumor cells from primary site to other organs is the leading cause of death for cancer patients. This multi-stage process requires tumor cells to survive in the circulation, extravasate at distant sites, then colonization. The whole process involves contributions from both the tumor cells and microenvironment. Here we developed and applied a clonal tracking ‘rainbow’ system into...","Homo sapiens","29","https://osdr.nasa.gov/bio/repo/data/studies/GSE121007"
"astronaut health","OSD-65","Microbial Observatory (ISS-MO): Microbial diversity","The environmental microbiome study was designed to decipher microbial diversity of the International Space Station surfaces in terms of spatial and temporal distributions using 16S and ITS iTag Illumina sequencing. We hypothesized that the microbial population of environmental surfaces changes in time due to astronauts' activity and might be location specific. The environmental samples were collected with the polyester wipes from eight different locations in the ISS during two consecutive sampli...","M, i, c, r, o, b, i, o, t, a","29","https://osdr.nasa.gov/bio/repo/data/studies/OSD-65"
"human spaceflight","OSD-277","Spaceflight Analogue Culture Enhances the Host-Pathogen Interaction Between Salmonella and a 3-D Biomimetic Intestinal Co-Culture Model","Physical forces associated with spaceflight and spaceflight analogue culture regulate a wide range of physiological responses by both bacterial and mammalian cells that can impact infection. However, our mechanistic understanding of how these environments regulate host-pathogen interactions in humans is poorly understood. Using a spaceflight analogue low fluid shear culture system, we investigated the effect of Low Shear Modeled Microgravity (LSMMG) culture on the colonization of Salmonella Typh...","N, o, t,  , A, p, p, l, i, c, a, b, l, e,  ,  ,  ,  ,  , S, a, l, m, o, n, e, l, l, a,  , e, n, t, e, r, i, c, a,  , s, u, b, s, p, .,  , e, n, t, e, r, i, c, a,  , s, e, r, o, v, a, r,  , T, y, p, h, i, m, u, r, i, u, m","29","https://osdr.nasa.gov/bio/repo/data/studies/OSD-277"
"human spaceflight","OSD-431","Microgravity and space radiation exert either opposite or synergic effects on single molecular pathways","Microgravity and space radiation (SR) are two highly influential factors affecting humans in space flight. Many health problems reported by astronauts derive from endothelial dysfunction and impaired homeostasis. Here we describe the adaptive response of human, capillary endothelial cells to space. Reference samples on ground and at 1g onboard allowed discrimination between the contribution of microgravity and SR within the combined response to space. Cell softening and reduced motility occurred...","H, o, m, o,  , s, a, p, i, e, n, s","29","https://osdr.nasa.gov/bio/repo/data/studies/OSD-431"
"microgravity human","GSE93860","Gene Expression Profile Changes due to Bleomycin-Induced DNA Damage in Human Fibroblasts in Space","To understand gene expression responses in confluent human fibroblast in microgravity conditions to bleomycin treatment.","Homo sapiens","29","https://osdr.nasa.gov/bio/repo/data/studies/GSE93860"
"microgravity human","GSE94253","Dynamic gene expression response to altered gravity in human T cells (parabolic flight)","We investigated differentially regulated genes in human Jurkat T lymphocytic cells in 20s and 5min microgravity and in hypergravity and compared expression profiles to identify potential gravity-regulated genes and adaptation processes.","Homo sapiens","29","https://osdr.nasa.gov/bio/repo/data/studies/GSE94253"
